ID,Name,Concepticon_ID,Concepticon_Gloss,Chinese_Gloss
1_sky,sky,1732,SKY,天(天空)
2_sun,sun*,1343,SUN,太阳
3_moon,moon*,1313,MOON,月亮
4_star,star*,1430,STAR,星星
5_cloud,cloud*,1489,CLOUD,云
6_wind,wind,960,WIND,风
7_rain,rain*,658,RAIN (PRECIPITATION),雨
8_lightning,lightning,1654,LIGHTNING,闪电
9_thunder,thunder,1150,THUNDER,雷(声)
10_rainbow,rainbow,1733,RAINBOW,彩虹
11_water,water*,948,WATER,水
12_land,land,626,LAND,地(大地)
13_earth,earth*,1228,EARTH (SOIL),土(土壤)
14_mud,mud,640,MUD,泥(巴)
15_river,river*,3311,FLOWING BODY OF WATER,河
16_lake,lake,624,LAKE,湖
17_mountain,mountain*,639,MOUNTAIN,山
18_gold,gold,1369,GOLD,金(子)
19_silver,silver,759,SILVER,银(子)
20_iron,iron,621,IRON,铁
21_stone,stone*,857,STONE,石头
22_fire,fire*,221,FIRE,火
23_flame,flame,889,FLAME,火焰
24_smoke,smoke*,778,SMOKE (EXHAUST),烟(炊烟)
25_night,night*,1233,NIGHT,夜
26_day,day,1260,DAY (24 HOURS),日(子)，天
27_today,today,1283,TODAY,今天
28_yesterday,yesterday,1174,YESTERDAY,昨天
29_daybeforeyesterday,day before yesterday,1180,DAY BEFORE YESTERDAY,前天
30_tomorrow,tomorrow,1329,TOMORROW,明天
31_dayaftertomorrow,day after tomorrow,1179,DAY AFTER TOMORROW,后天
32_year,year,1226,YEAR,年
33_morning,morning,1339,MORNING,早晨
34_ox,ox,1169,OX,牛(黄牛)
35_waterbuffalo,water buffalo,2516,WATER BUFFALO,水牛
36_horse,horse,615,HORSE,马
37_pig,pig,1337,PIG,猪
38_goat,goat,1502,GOAT,山羊
39_sheep,sheep,1331,SHEEP,绵羊
40_dog,dog*,2009,DOG,狗
41_cat,cat,1208,CAT,猫
42_rabbit,rabbit,1136,RABBIT,兔子
43_dragon,dragon,2038,DRAGON,龙
44_wildanimal,wild animal,958,WILD ANIMAL,野生动物
45_bear,bear,1820,BEAR,熊
46_tiger,tiger,846,TIGER,老虎
47_wolf,wolf,522,WOLF,狼
48_monkey,monkey,1350,MONKEY,猴子
49_otter,otter,15,OTTER,水獭
50_rat,rat,1490,RAT,老鼠
51_chicken,chicken,1318,CHICKEN,鸡
52_cockerel,cockerel,1511,ROOSTER,公鸡
53_duck,duck,1360,DUCK,鸭子
54_goose,goose,1187,GOOSE,鹅
55_bird,bird*,937,BIRD,鸟
56_dove,dove,1853,DOVE,鸽
57_eagle,eagle,1905,EAGLE,老鹰
58_bat,bat,1793,BAT,蝙蝠
59_frog,frog,503,FROG,青蛙
60_fish,fish*,227,FISH,鱼
61_snake,snake,730,SNAKE,蛇
62_leech,leech,2273,LEECH,蚂蟥/水蛭
63_spider,spider,843,SPIDER,蜘蛛
64_insect,insect,620,INSECT,昆虫
65_ant,ant,587,ANT,蚂蚁
66_fly,fly,1504,FLY (INSECT),苍蝇
67_bee,bee,665,BEE,蜜蜂
68_mosquito,mosquito,1509,MOSQUITO,蚊子
69_butterfly,butterfly,1791,BUTTERFLY,蝴蝶
70_louse,louse*,1392,LOUSE,虱子(衣上)
71_egg,egg*,744,EGG,蛋
72_wing,wing,1257,WING,翅膀
73_horn,horn*,1393,HORN (ANATOMY),角
74_tail,tail*,1220,TAIL,尾巴
75_tree,tree*,906,TREE,树
76_pinetree,pine tree,1740,PINE,松树
77_bamboo,bamboo,1927,BAMBOO,竹子
78_wheat,wheat,1077,WHEAT,小麦
79_buckwheat,buckwheat,2040,BUCKWHEAT,荞麦/荞子
80_barley,barley,932,BARLEY,大麦
81_maize,maize,506,MAIZE,玉米
82_cookedrice,cooked rice,1191,COOKED RICE,饭
83_rice,rice,926,RICE,大米
84_dishvegetables,dish (vegetables),3542,PREPARED FOOD,菜(饭菜)
85_soup,soup,1547,SOUP,汤(菜汤)
86_peanut,peanut,595,GROUNDNUT (PEANUT),花生
87_walnut,walnut,2042,WALNUT,核桃
88_bean,bean,832,BEAN,豆子
89_gourd,gourd,411,GOURD,葫芦
90_aubergine,aubergine,1146,AUBERGINE,茄子
91_garlic,garlic,2368,GARLIC,蒜
92_ginger,ginger,2500,GINGER,姜
93_chillipepper,chilli pepper,919,CHILI PEPPER,辣椒
94_fruit,fruit,1507,FRUIT,果子(水果)
95_banana,banana,868,BANANA,香蕉(芭蕉)
96_taro,taro,351,TARO,芋头
97_tobacco,tobacco,974,TOBACCO,烟(烟草)
98_grass,grass,606,GRASS,草(青草)
99_mushroom,mushroom,641,MUSHROOM,菌子
100_seed,seed*,714,SEED,种子
101_root,root*,670,ROOT,根(树根)
102_leaf,leaf*,628,LEAF,叶子
103_branch,branch,1531,BRANCH,树枝
104_shoot,shoot,1684,BUD,芽(种子芽)
105_flower,flower,239,FLOWER,花
106_board,board,1227,BOARD,板子(木板)
107_stick,stick,1295,STICK,棍子
108_bark,bark*,1204,BARK,树皮
109_thorn,thorn,124,THORN,刺
110_ash,ash*,646,ASH,灰(火灰、草木灰)
111_body,body,1480,BODY,身体
112_head,head*,1256,HEAD,头
113_brain,brain,1583,BRAIN,脑髓
114_haironhead,hair (on head)*,2648,HAIR (HEAD),头发
115_face,face,1560,FACE,脸
116_eye,eye*,1248,EYE,眼睛
117_nose,nose*,1221,NOSE,鼻子
118_ear,ear*,1247,EAR,耳朵
119_mouth,mouth*,674,MOUTH,嘴(里面)
120_tooth,tooth*,1380,TOOTH,牙齿
121_tongue,tongue*,1205,TONGUE,舌头
122_beard,beard,678,BEARD,胡子
123_chin,chin,1510,CHIN,下巴
124_neck,neck*,1333,NECK,脖子
125_shoulder,shoulder,1482,SHOULDER,肩膀
126_handarm,hand+arm *,2121,ARM OR HAND,手·胳臂
127_hand,hand,1277,HAND,手
128_arm,arm,1673,ARM,胳臂
129_palm,palm,1183,PALM OF HAND,手掌
130_wrist,wrist,799,WRIST,手腕
131_elbow,elbow,981,ELBOW,肘
132_finger,finger,1303,FINGER,手指
133_thumb,thumb,1781,THUMB,拇指
134_fingernail,fingernail*,1258,FINGERNAIL,指甲
135_buttocks,buttocks,834,BUTTOCKS,屁股
136_leg,leg,1297,LEG,腿
137_footleg,foot+leg*,2098,FOOT OR LEG,脚·腿
138_foot,foot,1301,FOOT,脚
139_calflowerleg,"calf, lower leg",498,CALF OF LEG,小腿
140_knee,knee*,1371,KNEE,膝盖
141_claw,claw*,72,CLAW,爪
142_chest,chest,1592,CHEST,胸脯
143_back,back,1291,BACK,脊背
144_breast,breast*,1402,BREAST,乳房
145_belly,belly*,1251,BELLY,肚子(腹部)
146_waist,waist,1681,WAIST,腰
147_skin,skin*,763,SKIN,皮肤
148_bone,bone*,1394,BONE,骨头
149_stomach,stomach,819,STOMACH,胃
150_navel,navel,1838,NAVEL,脐(肚脐)
151_kidneys,kidneys,489,KIDNEY,肾(腰子)
152_intestines,intestines,1991,INTESTINES,肠子
153_heart,heart*,1223,HEART,心
154_liver,liver*,1224,LIVER,肝
155_lungs,lungs,688,LUNG,肺
156_sweat,sweat,125,SWEAT (SUBSTANCE),汗
157_blood,blood*,946,BLOOD,血
158_catarrh,catarrh,208,NASAL MUCUS (SNOT),鼻涕
159_saliva,saliva,1503,SALIVA,口水
160_milk,milk,635,MILK,奶
161_faeces,faeces,675,FAECES (EXCREMENT),屎
162_urine,urine,1142,URINE,尿水
163_pus,pus,1808,PUS,脓
164_feather,feather*,1201,FEATHER,羽毛
165_tendon,tendon,1137,TENDON,筋(腱)
166_life,life,210,LIFE,生命
167_strength,strength,202,STRENGTH,力气
168_person,person*,683,PERSON,人
169_man,man*,1554,MAN,男人
170_woman,woman*,962,WOMAN,女人
171_child,child,1304,CHILD (YOUNG HUMAN),儿童
172_friend,friend,1325,FRIEND,朋友
173_soldier,soldier,1941,SOLDIER,兵(士兵)
174_deafperson,deaf person,458,DEAF PERSON,聋(子)
175_paternalgrandfather,paternal grandfather,2560,PATERNAL GRANDFATHER,爷爷
176_father,father,1217,FATHER,父亲
177_mother,mother,1216,MOTHER,母亲
178_elderbrother,elder brother,1759,OLDER BROTHER,哥哥
179_eldersister,elder sister,1758,OLDER SISTER,姐姐
180_youngerbrother,younger brother,1760,YOUNGER BROTHER,弟弟
181_youngersister,younger sister,1761,YOUNGER SISTER,妹妹
182_husband,husband,1200,HUSBAND,丈夫
183_wife,wife,1199,WIFE,妻子
184_son,son,1620,SON,儿子
185_daughter,daughter,1357,DAUGHTER,女儿(姑娘)
186_daughterinlaw,daughter-in-law,1057,DAUGHTER-IN-LAW,儿媳(媳妇)
187_soninlaw,son-in-law,1056,SON-IN-LAW,女婿
188_grandson,grandson,1618,GRANDSON,孙子
189_house,house,1252,HOUSE,房子
190_wall,wall,933,WALL (OF HOUSE),墙壁
191_beam,beam,1132,BEAM,梁(椽子)
192_door,door,1567,DOOR,门
193_room,room,1450,ROOM,房间
194_paddyfield,paddy field,140,PADDY FIELD,田(稻田)
195_dryfield,dry field,2794,FIELD (UPLAND),田(旱田)
196_hat,hat,771,HAT,帽子
197_earring,earring,770,EARRING,耳环
198_ring,ring,1374,RING,戒指
199_clothesupper,clothes (upper),1895,CLOTHES,衣服(上衣)
200_shirt,shirt,1622,SHIRT,衬衫
201_trousers,trousers,809,TROUSERS,裤子
202_shoes,shoes,1381,SHOE,鞋(布鞋)
203_cloth,cloth,1616,CLOTH,布(棉布)
204_blanket,blanket,806,BLANKET,被子
205_pillow,pillow,1044,PILLOW,枕头
206_food,food,256,FOOD,食品
207_fatoil,"fat, oil*",2551,ORGANIC FAT OR OIL,油(脂肪)
208_salt,salt,1274,SALT,盐
209_meat,meat*,634,MEAT,肉
210_liquor,liquor,842,LIQUOR,酒
211_tea,tea,1373,TEA,茶
212_saw,saw,1948,SAW,锯子
213_knife,knife,1352,KNIFE,刀
214_axe,axe,677,AXE,斧头
215_hoe,hoe,284,HOE,锄头
216_plough,plough,2154,PLOUGH (INSTRUMENT),犁
217_needle,needle,1382,NEEDLE (FOR SEWING),针
218_thread,thread,1161,THREAD,线(缝衣用的)
219_rope,rope,1218,ROPE,绳子
220_winnowingfan,winnowing fan,2051,DUSTPAN,簸箕(簸米用)
221_mortar,mortar,224,MORTAR,臼(盐臼)
222_medicine,medicine,1372,MEDICINE,药
223_broom,broom,245,BROOM,扫帚(扫把)
224_pan,pan,2056,WOK,锅(炒菜的)
225_bowl,bowl,1530,BOWL,小碗
226_chopsticks,chopsticks,1987,CHOPSTICKS,筷子
227_stairs,stairs,1464,LADDER,梯子(木梯)
228_firewood,firewood,10,FIREWOOD,柴
229_road,road*,667,ROAD,路
230_bridge,bridge,1011,BRIDGE,桥
231_boat,boat,1844,BOAT,船
232_market,market,633,MARKET,街子(集市)
233_price,price,657,PRICE,价钱(价格)
234_name,name*,1405,NAME,名字
235_dream,dream,2374,DREAM,梦
236_shadow,shadow,1388,SHADE,影子
237_ghost,ghost,1175,GHOST,鬼
238_god,god,3231,DEITY,神
239_soul,soul,811,SOUL,灵魂
240_fence,fence,1690,FENCE,栅栏
241_bow,bow,994,BOW,弓
242_arrow,arrow,977,ARROW,箭
243_village,village,930,VILLAGE,村子(寨子)
244_flute,flute,777,FLUTE,笛子
245_poison,poison,655,POISON,毒药
246_tolook,to look*,1819,LOOK,看
247_tosee,to see,1409,SEE,看见
248_toshow,to show,1039,SHOW,给看
249_tohear,to hear,1408,HEAR,听见
250_tolisten,to listen*,1608,LISTEN,听
251_toeat,to eat*,1336,EAT,吃
252_todrink,to drink*,1401,DRINK,喝
253_tobite,to bite*,1403,BITE,咬
254_tochew,to chew,321,CHEW,嚼
255_tolick,to lick,319,LICK,舔
256_toswallow,to swallow,897,SWALLOW,咽(吞)
257_tospit,to spit,1440,SPIT,吐(吐口水)
258_tovomit,to vomit,1278,VOMIT,呕吐
259_toblow,to blow,176,BLOW (WITH MOUTH),吹(吹火)
260_tosay,to say*,1623,SPEAK,说
261_toask,to ask,1309,ASK (INQUIRE),问
262_tocall,to call,1084,CALL,叫
263_totell,to tell,1711,TELL,告诉
264_tosmell,to smell,1586,SMELL (PERCEIVE),闻(嗅)
265_totake,to take,1749,TAKE,拿(拿书)
266_topick,to pick,2148,PICK,摘(摘果子)
267_totear,to tear,1735,TEAR (SHRED),撕
268_towring,to wring,3224,WRING,拧(拧毛巾)
269_toextend,to extend,,,伸(伸手)
270_topull,to pull,1455,PULL,拉(向前拉)
271_topush,to push,1452,PUSH,推
272_tokick,to kick,1135,KICK,踢
273_tokneel,to kneel,66,KNEEL,跪
274_tosit,to sit*,1416,SIT,坐
275_tocarryononesback,to carry on one‘s back,465,CARRY ON BACK,背(背小孩)
276_tolift,to lift,501,LIFT,提
277_tosleep,to sleep*,1585,SLEEP,睡觉
278_todo,to do,813,DO,做(做工)
279_todig,to dig,1418,DIG,挖(挖洞)
280_togrowcultivate,"to grow, cultivate",3461,GROW PLANTS,种(种菜)
281_tochopslice,"to chop, slice",2149,CHOP (INTO PIECES),切(切菜)
